id,label,gender,profession,ideology_binary,ideology_multiclass,tweet
44910,@user25,male,politician,right,right,El español es una persona que tiene sentido del humor. Se ríe mucho. No se puede decir que no sea obediente. Pero ay del que esté enfrente de los españoles cuando se hartan y se les borra la sonrisa. Basta ya de insultos. Basta ya de indultos.
34017,@user272,male,journalist,right,right,"@user @user @user Pero vamos a ver. Dicen que la vacuna no inmuniza, pero reduce la gravedad y las muertes. Es decir, que es menos probable que enfermes de covid y, si enfermas, hay menos posibilidades de que te ingresen, entres en UCI o mueras. Menos. Pero las hay. ¿Pues dónde están las cifras?"
28104,@user380,female,politician,left,left,"Caminando al 8 M, nos vestimos de violeta y salimos a la calle 💜. El domingo, el movimiento feminista hará historia de nuevo. Desde [POLITICAL_PARTY] acompañaremos su lucha en las calles y desde las instituciones, hasta lograr que las mujeres seamos libres e iguales. . #SoloSíesSí"
43792,@user382,female,politician,right,moderate_right,Desde [POLITICAL_PARTY] preferimos decirles a las familias que no se va a subir el IVA a la concertada y la sanidad que decirles que hemos presentado una octava enmienda a la totalidad de los presupuestos que ha sido rechazada. Así se hace #OposiciónÚtil. @user lo ha dejado claro ⬇️
4932,@user35,male,journalist,right,right,"De verdad, dejad de hacer el ridículo diciendo que Ayuso ha decidido que el Zendal no tenga quirófanos, o que no tenga paredes (me parto con eso), y no que han sido los responsables de planificación de un hospital, es decir, arquitectos y profesionales sanitarios."
18659,@user235,female,politician,left,moderate_left,"Hoy hemos visitado el CEIP San Francisco de Logroño con motivo de la apertura del curso escolar. Un centro ejemplo de educación de calidad, pública, solidaria y equitativa. La educación de calidad que queremos para todos los riojanos y riojanas."
27985,@user106,male,politician,right,moderate_right,Q tiempos aquellos en los q Iglesias hablaba d la casta. Hoy nos ha dicho q “tiene mucha suerte d que tengo jardín en mi casa”. Echenique tambié tiene mucha suerte de vivir en el Barrio de Salamanca. Derroche d coherencia. No entiendo porque lo abuchean en la facultad de Política
11279,@user1,male,politician,left,moderate_left,"1️⃣ Los pactos se ofrecen por una parte. 2️⃣ Las otras partes expresan su disponibilidad a tenerlo. 3️⃣ Acuerdan las partes donde, cuando, como y que van a negociar. 4️⃣ Cada parte expone que quiere. Empieza negociación . En España ya vamos por la 3️⃣ . En Madrid el [POLITICAL_PARTY] dijo NO en la 2️⃣"
19828,@user415,male,journalist,right,right,Si yo fuera del [POLITICAL_PARTY] o [POLITICAL_PARTY] intentaría contar con los servicios de Iván Redondo. Ha conseguido ganar las elecciones con el [POLITICAL_PARTY] más lamentable de la historia. Una cuadra de mendrugos. Con Torrente Ábalos y Adriana Graduado Escolar Lastra. Es como ganar la Champions con el Llagostera
48644,@user137,female,politician,left,moderate_left,"“El mundo no es un continente sólido de hechos salpicados por unos pocos lagos de incertidumbres, sino un vasto océano de incertidumbres salpicado por unas pocas islas de formas calibradas y estabilizadas"" Bruno Latour #Agenda2030 #ConcienciaIsleña #NoHayPlanetaB @user @user"
21046,@user359,male,politician,left,left,"El [POLITICAL_PARTY] y [POLITICAL_PARTY] nos comprometimos ante toda España a regular los precios de los alquileres. No cumplir un acuerdo de Gobierno que se firmó ante los ciudadanos es faltarles al respeto. [POLITICAL_PARTY] no va a consentir que se tome el pelo a la gente. Lo que se firma, se cumple."
45409,@user407,male,politician,right,moderate_right,"Cada km en bicicleta 🚲 , en lugar de usar el coche, evita la emisión a la atmósfera de 300 gr de CO2. 🎥 Presentamos la nueva guía ‘Pedalea por Murcia’, editada con motivo de la Semana de la Movilidad, que recoge 7 rutas urbanas para recorrer en bici a lo largo de 25,5 km"
41990,@user155,male,politician,right,moderate_right,"No tuve la oportunidad de conocer personalmente a José María, pero puedo asegurar que es una de las personas más queridas y de las que mejor me han hablado siempre en nuestro proyecto. Mi más sentido pésame a sus seres queridos y a toda la familia de Ciudadanos en Madrid. D.E.P."
30718,@user387,female,journalist,left,moderate_left,"“Ninguno de los miembros de las instituciones públicas salió a cantarle a Lorca su grandeza, a admitir nuestra vergüenza. La vergüenza de un país en el que nació y mataron, por rojo y maricón, al poeta más grande del siglo XX”. Por ⁦@user⁩"
23944,@user217,male,politician,left,moderate_left,"🇪🇺🇬🇧 Malas noticias desde UK, atrapado en su propio laberinto. Lo más positivo: la fortaleza mostrada por la UE, todos a una; y la previsión con la que ha actuado el Gobierno, asegurando los derechos de los españoles en UK y las medidas de contingencia."
50455,@user93,male,journalist,right,right,"Un marroquí ha asesinado apuñalando en el corazón a su mujer en Águilas (Murcia). El cadáver ha sido descubierto por los dos hijos de la mujer, de apenas 10 y 14 años. Pero recordad que el malo soy yo por publicarlo. El marroquí es otra víctima del mundo y de racistas como yo."
11227,@user277,male,politician,left,left,"La Gran Coalición neoliberal acaba de votar a favor de la nueva Comisión Europa. El equipo que gobernará la UE los próximos 5 años es continuista con las políticas antisociales, cede ante la extremaderecha y no está a las alturas de los desafíos #EPlenary #VdLCommission 👇 (hilo)"
16778,@user157,female,politician,right,moderate_right,"@user @user @user @user @user Mi formación académica y mi vida laboral son públicas, muy trabajadas ambas y sin que nadie me regale nada. . Sin duda lo serán mucho más, pues mis 35 años me lo permiten. . No pido perdón ni permiso para pelear por lo que quiero. Siento decírselo. . ¡Buenos días!"
31555,@user424,female,politician,left,left,"Por un mundo mejor, ¡¡orgullosa de Cataluña, tierra de acogida!!"
12186,@user15,male,journalist,left,left,"Willow Smith (hija de Will Smith) sacó hace menos de un mes esta pedazo de canción con 19 años. ¿Hay algo que no haga bien esa familia?. ""Hey mama look at me. In my black skin. I was killed by the police. In my black skin""."
44528,@user342,female,politician,left,moderate_left,Empezando el Año con el tradicional Concierto de Año Nuevo. #ConciertodeAñoNuevo 🎼🎻🎻
15773,@user336,male,politician,right,moderate_right,🔵 Quiero manifestar mi apoyo a la @user tras el asedio que ha tenido lugar estos días en el cuartel de Manresa. . Además aprovecho la ocasión para mostrar mi gratitud a todas las fuerzas y cuerpos de seguridad del Estado por defender la Democracia en Cataluña.
43559,@user407,male,politician,right,moderate_right,"🦋#MurciaRíoII se extenderá a lo largo de 27 km de cauce, recorriendo 14 pedanías, desde la Contraparada hasta Alquerías y El Raal. Supondrá la creación de nuevas zonas de ocio y deporte, así como la puesta en marcha de proyectos para la recuperación natural y la biodiversidad."
43025,@user56,male,politician,left,moderate_left,"El Gobierno @user de @user cargará a la banca el impuesto hipotecario. No será el cliente el que deba pagar el impuesto sobre actos jurídicos documentados (AJD) en la firma de una hipoteca, pese al fallo del Tribunal Supremo. . EJEMPLAR. Sobran palabras. @user"
11394,@user298,male,politician,right,moderate_right,"Después de los 29 segundos de ""Cumbre bilateral"" en Bruselas Biden ya le dijo a Sanchez todo lo que era necesario. No es de extrañar que Sánchez viaje a USA y no pise ni Washington ni la Casa Blanca."
35933,@user273,male,journalist,right,moderate_right,"Algunos iluminados incluso se alegran, mientras que otros muchos ignorantes lo ven como una oportunidad para cambiar el modelo productivo. Claro, como en este país se trata tan tan bien a empresarios y autónomos, seguro que nos va de lujo, ya veréis..."
17720,@user402,male,politician,left,moderate_left,“No hay socialismo sin feminismo” o “No se puede ser demócrata sin ser feminista” son algunas de las ideas que he intercambiado este viernes con @user. Gracias por este rato juntos. Ha llegado el momento de levantar la Cataluña más feminista. #Hagámoslo
11223,@user159,female,politician,left,left,"Tenemos el mayor descenso del paro en el mes de julio de la historia a nivel general, gracias. @user y equipo. Hay varias Comunidades que ya cuentan con un nivel de paro inferior al del inicio de la pandemia, no es el caso de la Comunidad de Madrid, que está a la cola."
35016,@user266,male,politician,left,left,"🇪🇺 Europa ha faltado a su promesa. La austeridad ha quebrado su horizonte de identidad y el pacto social que le daba sentido. El acuerdo de presupuestos es un buen primer paso, pero es necesario ir mucho más allá para revertir esta espiral desastrosa de austeridad y xenofobia."
40727,@user281,male,journalist,left,left,"Beltrán de Heredia, propuesta como senadora autonómica por el PNV, defendió la aplicación de la Ley Mordaza desde su cargo en el Gobierno Vasco. Eso no te lo contarán en su biografía oficial."
39326,@user1,male,politician,left,moderate_left,Año 2012: Montoro aprobó impedir por Ley que Aytos usarán sus ahorros y les aplicó regla de Gasto .... Año 2020: #GobiernoProgresista modifica Ley para permitir hacerlo a los Aytos. . 👉🏻El [POLITICAL_PARTY] aplaudía en 2012. . 👉🏻El [POLITICAL_PARTY] llama a la rebelión en 2020. ¿ Cuando creerles ?
34167,@user269,male,politician,left,moderate_left,"El tacticismo personalista de dirigentes del [POLITICAL_PARTY], [POLITICAL_PARTY] y [POLITICAL_PARTY] nos ha abocado a nuevos comicios el 10N. Como partido con la responsabilidad de gobernar, el @user era el primer interesado en afianzar una legislatura estable, y no se entiende q Iglesias haya dado bola extra a la derecha."
45032,@user193,male,politician,left,moderate_left,"Con datos @user se ve muy bien evolución Covid. Yo cojo siempre la suma del día actual y el anterior respecto a los mismos días semana pasada. . En esta etapa se consolida bajada por encima del 20 % Inter semanal. . M/X 3990 esta semana / 5158 anterior. ⬇️ 22,65 % casos."
2775,@user82,female,journalist,left,moderate_left,"Pensaba que quedarme en casa todo el día durante la nevada iba a ser duro pero al final me ha pasado como a Homer cuando no va a la iglesia, se puede colar en mi top tres de mejores días."
5039,@user93,male,journalist,right,right,¿Tampoco os enterasteis ayer de que un Juez ha dado orden de busca y captura a la @user contra una madre de Infancia Libre que lleva dos semanas fugada con sus dos hijos?. Un doble secuestro de menores al que los medios no han dado eco alguno porque tan cerca del #8M queda feo
28584,@user201,female,politician,left,left,"Mientras Casado reniega de [POLITICAL_PARTY] en el Congreso, en la Asamblea de Madrid, [POLITICAL_PARTY] le advierte a Ayuso: “no muerda la mano que le da de comer”. . O Casado no se cree lo que ha interpretado hoy en el Congreso o Ayuso no tiene cabida en ese [POLITICAL_PARTY] que ha dibujado su líder nacional."
22437,@user423,male,politician,left,left,"Es urgente derogar la reforma laboral que tanta precariedad ha traído, porque, aunque el Gobierno diga que sigue en la agenda, algunos sectores se resisten a hacerlo. Tememos que los fondos europeos sean la excusa perfecta para no acometer la derogación de la reforma laboral."
12735,@user314,male,politician,right,moderate_right,"Una más sobre los terribles campos de educación chinos en Xinjiang donde, como mínimo ,decenas de miles de Uigures han sido internados. La “reeducación” al más puro estilo Mao."
29643,@user56,male,politician,left,moderate_left,"El Comité Federal de @user aprueba por unanimidad las listas a Congreso, Senado, Eurocámara, Cabildos y Ayuntamientos. Tras el debate y elección internos, todos/as a ganar el apoyo ciudadano. Un honor formar parte de esta organización transformadora de la sociedad. @user"
27754,@user237,male,journalist,right,moderate_right,@user En eso estoy de acuerdo. Pero el que se fue de España para no pagar los impuestos en España no puede venir ahora diciendo que quiere ser diputado para manejar el dinero que se recauda de los impuestos
17679,@user164,male,journalist,left,left,@user Disculpe pero creo haber demostrado a lo largo de unos cuantos años que suelo opinar sabiendo de qué hablo. Usted no está de acuerdo con mi opinión y me parece muy bien. No creo que se deba a que no sabe bien de qué habla.
6487,@user126,male,journalist,left,left,"En Euskadi, un lugar con tradición de apostar, al menos intentan atajar lo que pasa. Y gobierna la derecha."
29821,@user342,female,politician,left,moderate_left,"#DíaMundialDelCáncerDeMama, nuestro cariño y apoyo a todas las #mujeres y #hombres con cáncer de mama!!!. Promover la prevención, el diagnóstico precoz, la investigación, el apoyo y acompañamiento,...., fundamental para luchar contra el #CáncerDeMama #SúmateAlRosa"
32371,@user94,male,politician,right,moderate_right,"👉 Hoy en la Intermunicipal de La Rioja donde he defendido que en las próximas elecciones al País Vasco, debemos apostar por la unidad de España y la Constitución en un proyecto integrador con generosidad y altura de miras. . Con la coalición [POLITICAL_PARTY]+[POLITICAL_PARTY] sumamos fuerzas a favor de ello."
28703,@user129,male,politician,right,moderate_right,Sánchez habla de un tiempo para el castigo y un tiempo para la concordia y confirma así que va a indultar a los golpistas. . Tacha de venganza la sentencia del Tribunal Supremo a los presos del “procés”. . ¡QUÉ VERGÜENZA! ¡Traición al pueblo Español! . #SesionDeControl
4604,@user425,male,politician,right,moderate_right,"😷 Como Alcalde de #Bilbao apelo, una vez más, a la responsabilidad de bilbainos y bilbainas y a cumplir con todas las medidas sanitarias y de higiene. . 😷 Por Responsabilidad, Respeto y Solidaridad, hagamos frente a esta situación entre todos y todas. . Eskerrik asko !"
14674,@user44,female,politician,left,left,"Se va un año difícil y empieza el 2022 para defender lo conseguido e ir a por más. Con la familia, amistades, vecinas y compañeros, con lo que más importa, a caminar con las manos bien apretadas. Mi recuerdo también para quienes pasan solas esta Nochevieja. Feliz entrada al 2022"
5178,@user371,male,politician,right,moderate_right,"Radicales vuelven a insultar y a acosar a varios periodistas por ejercer su trabajo en Barcelona. Todo mi apoyo. Reclamamos la condena de todos, también de los socios independentistas de Sánchez. En defensa de la libertad de información, siempre."
18645,@user193,male,politician,left,moderate_left,"Operación Atalanta, dentro de @user es una de las misiones en el exterior de las FFAA. En este caso dedicadas a atajar la piratería en costas de Somalia e Índico. Y proteger barcos de la @user España entrega el mando a Italia. @user"
32923,@user85,male,politician,right,moderate_right,"En CyL cumplimos la Constitución.Los padres siempre podrán elegir la enseñanza de sus hijos, con la garantía de que la educación de esta tierra es una de las mejores de España. El [POLITICAL_PARTY] y la extrema izquierda aún no gobiernan y ya ponen en riesgo la libertad.Nos tendrán enfrente."
48305,@user134,male,politician,right,right,"Los empresarios catalanes exigen un golpe de timón al Govern y piden recuperar la normalidad. La normalidad que deberían exigir es acabar con la falta de libertad, el despilfarro y su agenda rupturista, de la que algunos han vivido muy bien durante años."
36322,@user157,female,politician,right,moderate_right,"@user El tuit no le ha gustado pero le da igual quiénes han provocado el desamparo y hacen negocio con él. . Hay cientos así, abandonados x el Gob de España, en las calles de Ceuta y Melilla. . Eso es lo q debería centrar la atención. . Entendido. Una profunda solidaridad y humanidad."
10897,@user45,male,politician,left,left,Así vivimos o peche de campaña 👇🏽
47308,@user125,male,politician,right,moderate_right,"Os dejo mi último artículo publicado hoy en el diario @user , una reflexión pública sobre las nuevas ignominias de este gobierno a la sociedad española y al estado de derecho. @user @user @user ."
17429,@user323,male,politician,left,moderate_left,"Podría hacer gracia la patrimonialización de España de la derecha, si olvidáramos de donde procede #NoOlvidamos #DiestraNostálgica"
20245,@user15,male,journalist,left,left,"""Cuando un ser humano mira alrededor lo que está ocurriendo y no le gusta -y al no gustarle decide pelear-, ya está haciendo política... de izquierdas"". Julio Anguita fue el hombre que me hizo interesarme por la política por primera vez en mi vida. Tendría 14 años. DEP camarada."
46898,@user221,female,journalist,left,moderate_left,"""El de sucesiones es injusto porque es pagar por algo que ya se ha pagado"", dice Laura Borràs, que se considera muy de izquierdas. A Casado, Ayuso &amp; Co les gusta fijo. Una entrevista de @user ."
27741,@user37,male,politician,left,moderate_left,@user @user @user A mí lo único que me “apreta” son los datos de la evolución de la epidemia. En España empiezan a ser muy preocupantes y en Asturias vamos a adoptar todas las medidas legales que podamos para intentar frenar al virus y evitar vernos nuevamente encerrados en casa.
12232,@user166,female,politician,right,moderate_right,"La EPA esconde la pérdida de 750 mil empleos del sector privado, compensados en parte con 125 mil empleos públicos. 755 mil trabajadores en Ertes y 355 mil autónomos en prestación especial. Un panorama sombrío que muestra nuestro principal problema, el empleo. #activemosEspaña"
365,@user56,male,politician,left,moderate_left,"Presentada la APP RADAR COVID en la isla de La Gomera. Proyecto piloto del gobierno central en la isla en la que el 31 de enero de 2020 tuvimos el primer positivo por COVID-19. Mucho se ha sufrido en este tiempo: con la nueva normalidad, la tecnología al servicio de la seguridad."
25739,@user105,male,politician,left,moderate_left,"En la jornada @user en el @user escuchando a los niños y niñas. Informe sobre la percepción de la violencia en la infancia . Por el @user interviene @user reivindicando la voz de los niños y niñas, pidiéndoles que nunca cambien los nombres a los problemas"
36965,@user413,female,journalist,left,left,"Para el artículo hablo con una de las autoras, @user, que analiza las entrevistas a 8 madres y sus hijas. Interesante ver cómo nos subyugamos al sistema aun desde discursos feministas y empoderadores. . En este vídeo se oye a algunas de esas mujeres."
29791,@user323,male,politician,left,moderate_left,Rivera se queja de que Rajoy no le ha llamado después de apoyarlo en la investidura y en los presupuestos dos años. El “golden boy” del IBEX no lleva bien el ninguneo de la vieja élite. Una cosa es cierta: un sms como a Bárcenas le podría haber mandado. #LaMociondelCambio
47384,@user61,female,politician,right,moderate_right,"¿Quien le permite a Pedro Sanchez, de espaldas a las víctimas de ETA y a los españoles que sufrieron el terrorismo, ceder al PNV las competencias de prisiones, para que estos saquen a los asesinos etarras a la calle en menos que canta un gallo?"
41470,@user239,female,politician,right,moderate_right,"Un Sánchez a las puertas del rebrote por ineficiente, una vez más , necesita el aplauso sonoro que tape el ruido de fuera."
9188,@user314,male,politician,right,moderate_right,"[POLITICAL_PARTY] es esto. Intolerancia, desprecio al diferente y tosco patrioterismo simplón de bota y correaje. Inaceptable pero ciertamente esperable que aboguen por dar patadas a colegas de escaño. Se retratan ellos solos. Flaco favor le hacen al rey. Toda mi solidaridad con @user"
23548,@user68,male,politician,right,right,"Preguntes diferents, mateixa resposta. Les respostes correctes són:. 1) El Gobierno puede conceder indultos que no hubieran sido solicitados (art. 21 Ley 18 junio 1870). 2) El Decreto-Ley se regula en el art. 86 de la CE de 1978, no en una Ley de 1870. Quina nota els hi poso ?"
1280,@user362,female,politician,right,moderate_right,Vuestra gestión de la pandemia es nefasta 5507 personas muertas y 167.000 contagiados. Miles de parados y empresas cerradas y de bromistas. Vamos hombre un poco de respeto y empatía. El presidente @user os está marcando el camino y eso humilla el ego de @user. 😭😭😭
33773,@user290,male,politician,left,left,"Después de la histórica jornada que vivimos el #8M del año pasado, mañana las mujeres repiten la #HuelgaFeminista para avanzar con más fuerza y lograr que reflexionemos más sobre sus derechos y su papel en la sociedad. Es nuestro deber acompañarlas en su lucha. #NadaNosPara8M"
15378,@user182,male,politician,left,left,"Os imagináis que lo de la pijiparejita de [POLITICAL_PARTY] fuese alguien de Podemos? No es que tendrían que dimitir, es que tendríamos que haber cerrado el partido ya. Entre el que ha vivido toa la vida de chiringuitos, los de las estafas inmobiliarias y el facha misógino, vaya perlas"
36292,@user1,male,politician,left,moderate_left,Sigo el Pleno #Congreso de forma telemática y siento vergüenza de la actitud de bronca con insultos que lanzan constantemente [POLITICAL_PARTY] y [POLITICAL_PARTY]. No todos somos iguales. Esta derecha rompe el respeto y la convivencia de la sede de la soberanía nacional.
35176,@user443,male,politician,right,moderate_right,"Esta mañana visitando la gran obra de Vigo. La estación intermodal que conecta dos infraestructuras claves, la estación del AVE y la estación de autobús. La @user está teniendo un papel primordial en la financiación de la obra. . #Competitividad #futuro #vigo"
47600,@user315,female,politician,left,moderate_left,"Cuando gobernamos hemos cumplido nuestra palabra de avanzar en la protección de las mujeres, con medidas concretas y presupuestos concretos. . Todo eso con lo que la derecha y el fascismo quiere acabar. Ni un paso atrás 💜 . #gobiernoejemplar #[POLITICAL_PARTY] @user"
29734,@user239,female,politician,right,moderate_right,"3,9 millones de parados. Se incrementa el paro en 36.825 personas en diciembre, algo que no pasaba desde la anterior crisis. Los datos de paro son los peores desde 2009. SI incluimos los trabajadores en ERTE (775.000) el paro se dispara a 4,7 millones. ⁦"
31245,@user144,male,politician,left,left,"""El @user no va apoder gobernar en la próxima legislatura sin el apoyo de los partidos independentistas. [POLITICAL_PARTY] va a permitir parar a la derecha y poner encima de la mesa una negociacion con el Estado en termino de país, no en términos de partido"""
24761,@user72,female,journalist,right,right,@user @user Rosita te quiero
18679,@user266,male,politician,left,left,"La política del [POLITICAL_PARTY] sobre armas nucleares: lo que diga EEUU en cada momento. . Un gobierno sensato y comprometido con la paz respondería a la decisión de Trump firmando el Tratado de Prohibición de Armas Nucleares, como ya han hecho 59 Estados. . 👉🏻"
7963,@user223,male,politician,right,moderate_right,17 planes contra el COVID-19. . 17 planes de vacunación. . 17 planes para afrontar la Semana Santa. . ¿Alguien puede explicar para qué ha servido el Estado de Alarma? . ¿Alguien puede explicar para qué está la ministra de Sanidad? Además de para molestar.
12355,@user441,male,journalist,left,left,"Usman (Mauritania) es el agricultor de Lavapiés que durante la pandemia donó 15.000 kilos de alimentos producidos en su huerto. 2.000 familias de Lavapiés, Vallecas, Usera y Carabanchel pudieron tener alimentos frescos gracias a él. Ahora, él lo ha perdido todo en un incendio."
26544,@user380,female,politician,left,left,"@user @user @user Hay nacionalismos de dchas y de izqs y me da la impresión de que todos los que me vigilan pa explicarme de qué va la vida, son de derechas, pero como lo hacen en el anonimato. y después de tu pregunta, tenía curiosidad en el número de organizaciones que lo llevan en el programa."
40086,@user264,female,politician,right,moderate_right,“Nos quitaron el derecho de conocer la San Sebastián en la que tú creías” . @user . Nuestro reconocimiento del @user a Gregorio Ordóñez.
35964,@user191,male,politician,right,moderate_right,@user @user Desde el @user vamos a trabajar para que la información de las notas diarias del @user que da a @user se publiquen y toda ESPAÑA pueda valorar con datos la gestión del @user y @user y de la crisis del #COVID__19
13516,@user99,male,politician,left,left,"Pablo Casado: “A Felipe VI lo votamos los españoles, a Garzón y a Iglesias no” 🧐 . Pensaba que era una frase de una parodia, de algún humorista haciendo la caricatura, de alguna web de humor... ¡Pero ha sido real! Como para creer al líder del [POLITICAL_PARTY] en algo, en cualquier cosa."
24200,@user109,male,politician,left,left,"La sanidad pública es nuestro mayor tesoro (junto con la SS). Nos da salud, tranquilidad y amortigua brutalmente las desigualdades. Me encanta que atienda a todo el mundo, incluso a quienes votan a partidos que quieren hacerla desaparecer escondidos tras una bandera."
45157,@user189,male,journalist,left,moderate_left,"La retirada de Indalecio Prieto del callejero de Madrid es una de las iniciativas más absurdas y grotescas de la derecha que se hace llamar constitucionalista. Prieto situó al [POLITICAL_PARTY] en el eje atlántico, expulsó a Juan Negrín e intentó pactar la restauración monárquica en 1946/47."
23393,@user56,male,politician,left,moderate_left,"Todo el apoyo y solidaridad para el pueblo hermano mallorquín ante las terribles y dolorosas pérdidas humanas. Mis condolencias. Descorazonados ante las imágenes de devastación y destrozo. Que pronto vuelva todo a la normalidad, aunque ya nunca será lo mismo."
14437,@user269,male,politician,left,moderate_left,"@user @user @user @user Haciendo balance, considero la labor de @user en #Sevilla este año y medio notable:. Hemos licitado 9 contratos por +50M€, tenemos previsto terminar la duplicación de la N-4 entre Dos Hermanas y Los Palacios y estamos en plena remodelación del enlace de la A-4 con la SE-20."
43560,@user145,female,politician,left,left,Ayer Almeida y Villacís fueron muy duros con Ortega Smith por sus vergonzosas palabras en el acto del 25N. Mañana debatiremos una moción presentada por el [POLITICAL_PARTY] para reprobar esas mismas palabras. Esperamos coherencia de todos. La nuestra está asegurada.
766,@user46,female,politician,left,moderate_left,"No me canso de decirlo, que suerte tenemos en #CLM de tener al @user al frente del @user. Feminista, Profesional, Comprometida y Valiente entre otras muchas cosas buenas. . #8deMarzo. Las mujeres mueven el mundo. . @user"
14954,@user451,male,politician,left,moderate_left,Lamentablemente @user ha bloqueado una declaración institucional del @user impulsada por el @user de apoyo al colectivo de personas Lgtbi en el deporte. @user y @user han elegido mal compañero de viaje.
25502,@user85,male,politician,right,moderate_right,Hemos aprobado una modificación normativa en el Consejo de Gobierno de @user para que los beneficiarios de la Renta Garantizada de #CyL que pasan a cobrar el Ingreso Mínimo Vital del Gobierno de España no pierdan dinero. Hasta hoy hemos compensado con ayudas a más de 450 familias
23237,@user361,male,politician,right,right,Conozco a [POLITICAL_PARTY] honrados que tras ver al @user firmar un documento contra la derecha con @user y las @user se replantearán su voto. Ningún español honrado puede ver bien que su partido pacte con los que justifican los asesinatos de ETA y quieren romper España
44245,@user23,female,politician,left,moderate_left,"@user @user Sr Fdez Ordóñez: ""haga el favor""... déjese de demagogias. Como ud sabe bien (imagino, quizás ni siquiera) son datos y pantallazo de #OMIE. Una cosa es el precio del pool y otro el (los) precio(-s) de los (distintos) consumidores en cada país. El insulto y el desprecio fácil..."
30413,@user354,male,politician,left,left,"Se esconden en Andorra 🇦🇩 para no contribuir al bienestar del pueblo, hace falta decirlo claro: los paraísos fiscales son infiernos sociales. Este artículo de @user es una joya, recuerda cómo la OCDE propone pagar donde se gana, país por país"
50483,@user280,male,politician,left,moderate_left,Estas serán mis responsabilidades en @user . ⭕️ Vicepresidente 1º de la Comisión M. de Seguridad Nacional. ⭕️ Comisión de Asuntos Exteriores. ⭕️ Comisión de Interior . ⭕️ Comisión de Defensa. ⭕️ Comisión de Economía y Empresa . Y cuantos problemas o asuntos deseéis q me interese
5748,@user127,female,politician,left,moderate_left,Después de eliminar el impuesto de sucesiones....El [POLITICAL_PARTY] y [POLITICAL_PARTY] aumenta el precio de las guarderías. . De algún sitio tendrán que sacar lo que van a dejar de recaudar. Las grandes fortunas estarán contentos y agradecidos
34560,@user215,male,journalist,right,right,"Ahora en Navidad cuando nieve (cuidado con la nieve, es para verla desde la ventana y ya) y veáis la estrella fugaz y otras estrellas en el firmamento, recordad que se lo debéis al SOE."
23059,@user161,male,politician,right,moderate_right,"La “falta de lealtad” es usar las instituciones del estado en beneficio del @user de @user y de un gobierno liberticida q amenaza con limitar las libertades constitucionales con la excusa del estado de alarma. Han perdido todo freno ético, si alguna vez lo han tenido."
